index,name,category,temporal_stat,description,source
155,mean_stat_G_mean,Statistical Features,フレーム平均,フレーム平均: Gチャンネルの平均値,NumPy/SciPy stats
156,mean_stat_G_std,Statistical Features,フレーム平均,フレーム平均: Gチャンネルの標準偏差,NumPy/SciPy stats
157,mean_stat_G_skew,Statistical Features,フレーム平均,フレーム平均: Gチャンネルの歪度（分布の非対称性）,NumPy/SciPy stats
158,mean_stat_G_kurtosis,Statistical Features,フレーム平均,フレーム平均: Gチャンネルの尖度（分布の尖り）,NumPy/SciPy stats
159,mean_stat_G_p10,Statistical Features,フレーム平均,フレーム平均: Gチャンネルの10パーセンタイル,NumPy/SciPy stats
160,mean_stat_G_p90,Statistical Features,フレーム平均,フレーム平均: Gチャンネルの90パーセンタイル,NumPy/SciPy stats
161,mean_stat_B_mean,Statistical Features,フレーム平均,フレーム平均: Bチャンネルの平均値,NumPy/SciPy stats
162,mean_stat_B_std,Statistical Features,フレーム平均,フレーム平均: Bチャンネルの標準偏差,NumPy/SciPy stats
163,mean_stat_B_skew,Statistical Features,フレーム平均,フレーム平均: Bチャンネルの歪度（分布の非対称性）,NumPy/SciPy stats
164,mean_stat_B_kurtosis,Statistical Features,フレーム平均,フレーム平均: Bチャンネルの尖度（分布の尖り）,NumPy/SciPy stats
165,mean_stat_B_p10,Statistical Features,フレーム平均,フレーム平均: Bチャンネルの10パーセンタイル,NumPy/SciPy stats
166,mean_stat_B_p90,Statistical Features,フレーム平均,フレーム平均: Bチャンネルの90パーセンタイル,NumPy/SciPy stats
167,mean_stat_gray_mean,Statistical Features,フレーム平均,フレーム平均: グレースケールの平均値,NumPy/SciPy stats
168,mean_stat_gray_std,Statistical Features,フレーム平均,フレーム平均: グレースケールの標準偏差,NumPy/SciPy stats
169,mean_stat_gray_skew,Statistical Features,フレーム平均,フレーム平均: グレースケールの歪度（分布の非対称性）,NumPy/SciPy stats
170,mean_stat_gray_kurtosis,Statistical Features,フレーム平均,フレーム平均: グレースケールの尖度（分布の尖り）,NumPy/SciPy stats
171,mean_fft_low_freq_ratio,FFT Features,フレーム平均,フレーム平均: 2Dフーリエ変換: 低周波成分の比率,NumPy FFT
172,mean_fft_mid_freq_ratio,FFT Features,フレーム平均,フレーム平均: 2Dフーリエ変換: 中周波成分の比率,NumPy FFT
173,mean_fft_high_freq_ratio,FFT Features,フレーム平均,フレーム平均: 2Dフーリエ変換: 高周波成分の比率,NumPy FFT
174,mean_fft_magnitude_mean,FFT Features,フレーム平均,フレーム平均: 2Dフーリエ変換: パワースペクトルの平均,NumPy FFT
175,mean_fft_magnitude_std,FFT Features,フレーム平均,フレーム平均: 2Dフーリエ変換: パワースペクトルの標準偏差,NumPy FFT
176,mean_spatial_centroid_x,Spatial Distribution,フレーム平均,フレーム平均: 空間分布: 重心X座標（正規化）,OpenCV moments
177,mean_spatial_centroid_y,Spatial Distribution,フレーム平均,フレーム平均: 空間分布: 重心Y座標（正規化）,OpenCV moments
178,mean_spatial_variance_x,Spatial Distribution,フレーム平均,フレーム平均: 空間分布: X方向の分散（正規化）,OpenCV moments
179,mean_spatial_variance_y,Spatial Distribution,フレーム平均,フレーム平均: 空間分布: Y方向の分散（正規化）,OpenCV moments
180,mean_spatial_spread,Spatial Distribution,フレーム平均,フレーム平均: 空間分布: 広がり（正規化）,OpenCV moments
181,mean_spatial_quadrant_TL,Spatial Distribution,フレーム平均,フレーム平均: 空間分布: 左上象限の分布比率,OpenCV moments
182,mean_spatial_quadrant_TR,Spatial Distribution,フレーム平均,フレーム平均: 空間分布: 右上象限の分布比率,OpenCV moments
183,mean_spatial_quadrant_BL,Spatial Distribution,フレーム平均,フレーム平均: 空間分布: 左下象限の分布比率,OpenCV moments
184,mean_spatial_quadrant_BR,Spatial Distribution,フレーム平均,フレーム平均: 空間分布: 右下象限の分布比率,OpenCV moments
185,std_color_hist_R_bin0,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 0）,OpenCV calcHist
186,std_color_hist_R_bin1,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 1）,OpenCV calcHist
187,std_color_hist_R_bin2,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 2）,OpenCV calcHist
188,std_color_hist_R_bin3,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 3）,OpenCV calcHist
189,std_color_hist_R_bin4,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 4）,OpenCV calcHist
190,std_color_hist_R_bin5,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 5）,OpenCV calcHist
191,std_color_hist_R_bin6,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 6）,OpenCV calcHist
192,std_color_hist_R_bin7,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 7）,OpenCV calcHist
193,std_color_hist_R_bin8,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 8）,OpenCV calcHist
194,std_color_hist_R_bin9,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 9）,OpenCV calcHist
195,std_color_hist_R_bin10,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 10）,OpenCV calcHist
196,std_color_hist_R_bin11,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 11）,OpenCV calcHist
197,std_color_hist_R_bin12,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 12）,OpenCV calcHist
198,std_color_hist_R_bin13,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 13）,OpenCV calcHist
199,std_color_hist_R_bin14,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 14）,OpenCV calcHist
200,std_color_hist_R_bin15,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 15）,OpenCV calcHist
201,std_color_hist_G_bin0,Color Histogram,フレーム標準偏差,フレーム標準偏差: Gチャンネルの色ヒストグラム（bin 0）,OpenCV calcHist
202,std_color_hist_G_bin1,Color Histogram,フレーム標準偏差,フレーム標準偏差: Gチャンネルの色ヒストグラム（bin 1）,OpenCV calcHist
203,std_color_hist_G_bin2,Color Histogram,フレーム標準偏差,フレーム標準偏差: Gチャンネルの色ヒストグラム（bin 2）,OpenCV calcHist
204,std_color_hist_G_bin3,Color Histogram,フレーム標準偏差,フレーム標準偏差: Gチャンネルの色ヒストグラム（bin 3）,OpenCV calcHist
205,std_color_hist_G_bin4,Color Histogram,フレーム標準偏差,フレーム標準偏差: Gチャンネルの色ヒストグラム（bin 4）,OpenCV calcHist
206,std_color_hist_G_bin5,Color Histogram,フレーム標準偏差,フレーム標準偏差: Gチャンネルの色ヒストグラム（bin 5）,OpenCV calcHist
207,std_color_hist_G_bin6,Color Histogram,フレーム標準偏差,フレーム標準偏差: Gチャンネルの色ヒストグラム（bin 6）,OpenCV calcHist
208,std_color_hist_G_bin7,Color Histogram,フレーム標準偏差,フレーム標準偏差: Gチャンネルの色ヒストグラム（bin 7）,OpenCV calcHist
209,std_color_hist_G_bin8,Color Histogram,フレーム標準偏差,フレーム標準偏差: Gチャンネルの色ヒストグラム（bin 8）,OpenCV calcHist
210,std_color_hist_G_bin9,Color Histogram,フレーム標準偏差,フレーム標準偏差: Gチャンネルの色ヒストグラム（bin 9）,OpenCV calcHist
211,std_color_hist_G_bin10,Color Histogram,フレーム標準偏差,フレーム標準偏差: Gチャンネルの色ヒストグラム（bin 10）,OpenCV calcHist
212,std_color_hist_G_bin11,Color Histogram,フレーム標準偏差,フレーム標準偏差: Gチャンネルの色ヒストグラム（bin 11）,OpenCV calcHist
213,std_color_hist_G_bin12,Color Histogram,フレーム標準偏差,フレーム標準偏差: Gチャンネルの色ヒストグラム（bin 12）,OpenCV calcHist
214,std_color_hist_G_bin13,Color Histogram,フレーム標準偏差,フレーム標準偏差: Gチャンネルの色ヒストグラム（bin 13）,OpenCV calcHist
215,std_color_hist_G_bin14,Color Histogram,フレーム標準偏差,フレーム標準偏差: Gチャンネルの色ヒストグラム（bin 14）,OpenCV calcHist
216,std_color_hist_G_bin15,Color Histogram,フレーム標準偏差,フレーム標準偏差: Gチャンネルの色ヒストグラム（bin 15）,OpenCV calcHist
217,std_color_hist_B_bin0,Color Histogram,フレーム標準偏差,フレーム標準偏差: Bチャンネルの色ヒストグラム（bin 0）,OpenCV calcHist
218,std_color_hist_B_bin1,Color Histogram,フレーム標準偏差,フレーム標準偏差: Bチャンネルの色ヒストグラム（bin 1）,OpenCV calcHist
219,std_color_hist_B_bin2,Color Histogram,フレーム標準偏差,フレーム標準偏差: Bチャンネルの色ヒストグラム（bin 2）,OpenCV calcHist
220,std_color_hist_B_bin3,Color Histogram,フレーム標準偏差,フレーム標準偏差: Bチャンネルの色ヒストグラム（bin 3）,OpenCV calcHist
221,std_color_hist_B_bin4,Color Histogram,フレーム標準偏差,フレーム標準偏差: Bチャンネルの色ヒストグラム（bin 4）,OpenCV calcHist
222,std_color_hist_B_bin5,Color Histogram,フレーム標準偏差,フレーム標準偏差: Bチャンネルの色ヒストグラム（bin 5）,OpenCV calcHist
223,std_color_hist_B_bin6,Color Histogram,フレーム標準偏差,フレーム標準偏差: Bチャンネルの色ヒストグラム（bin 6）,OpenCV calcHist
224,std_color_hist_B_bin7,Color Histogram,フレーム標準偏差,フレーム標準偏差: Bチャンネルの色ヒストグラム（bin 7）,OpenCV calcHist
225,std_color_hist_B_bin8,Color Histogram,フレーム標準偏差,フレーム標準偏差: Bチャンネルの色ヒストグラム（bin 8）,OpenCV calcHist
226,std_color_hist_B_bin9,Color Histogram,フレーム標準偏差,フレーム標準偏差: Bチャンネルの色ヒストグラム（bin 9）,OpenCV calcHist
227,std_color_hist_B_bin10,Color Histogram,フレーム標準偏差,フレーム標準偏差: Bチャンネルの色ヒストグラム（bin 10）,OpenCV calcHist
228,std_color_hist_B_bin11,Color Histogram,フレーム標準偏差,フレーム標準偏差: Bチャンネルの色ヒストグラム（bin 11）,OpenCV calcHist
229,std_color_hist_B_bin12,Color Histogram,フレーム標準偏差,フレーム標準偏差: Bチャンネルの色ヒストグラム（bin 12）,OpenCV calcHist
230,std_color_hist_B_bin13,Color Histogram,フレーム標準偏差,フレーム標準偏差: Bチャンネルの色ヒストグラム（bin 13）,OpenCV calcHist
231,std_color_hist_B_bin14,Color Histogram,フレーム標準偏差,フレーム標準偏差: Bチャンネルの色ヒストグラム（bin 14）,OpenCV calcHist
232,std_color_hist_B_bin15,Color Histogram,フレーム標準偏差,フレーム標準偏差: Bチャンネルの色ヒストグラム（bin 15）,OpenCV calcHist
233,std_hsv_hist_H_bin0,HSV Histogram,フレーム標準偏差,フレーム標準偏差: HueチャンネルのHSVヒストグラム（bin 0）,OpenCV calcHist
234,std_hsv_hist_H_bin1,HSV Histogram,フレーム標準偏差,フレーム標準偏差: HueチャンネルのHSVヒストグラム（bin 1）,OpenCV calcHist
235,std_hsv_hist_H_bin2,HSV Histogram,フレーム標準偏差,フレーム標準偏差: HueチャンネルのHSVヒストグラム（bin 2）,OpenCV calcHist
236,std_hsv_hist_H_bin3,HSV Histogram,フレーム標準偏差,フレーム標準偏差: HueチャンネルのHSVヒストグラム（bin 3）,OpenCV calcHist
237,std_hsv_hist_H_bin4,HSV Histogram,フレーム標準偏差,フレーム標準偏差: HueチャンネルのHSVヒストグラム（bin 4）,OpenCV calcHist
238,std_hsv_hist_H_bin5,HSV Histogram,フレーム標準偏差,フレーム標準偏差: HueチャンネルのHSVヒストグラム（bin 5）,OpenCV calcHist
239,std_hsv_hist_H_bin6,HSV Histogram,フレーム標準偏差,フレーム標準偏差: HueチャンネルのHSVヒストグラム（bin 6）,OpenCV calcHist
240,std_hsv_hist_H_bin7,HSV Histogram,フレーム標準偏差,フレーム標準偏差: HueチャンネルのHSVヒストグラム（bin 7）,OpenCV calcHist
241,std_hsv_hist_H_bin8,HSV Histogram,フレーム標準偏差,フレーム標準偏差: HueチャンネルのHSVヒストグラム（bin 8）,OpenCV calcHist
242,std_hsv_hist_H_bin9,HSV Histogram,フレーム標準偏差,フレーム標準偏差: HueチャンネルのHSVヒストグラム（bin 9）,OpenCV calcHist
243,std_hsv_hist_H_bin10,HSV Histogram,フレーム標準偏差,フレーム標準偏差: HueチャンネルのHSVヒストグラム（bin 10）,OpenCV calcHist
244,std_hsv_hist_H_bin11,HSV Histogram,フレーム標準偏差,フレーム標準偏差: HueチャンネルのHSVヒストグラム（bin 11）,OpenCV calcHist
245,std_hsv_hist_H_bin12,HSV Histogram,フレーム標準偏差,フレーム標準偏差: HueチャンネルのHSVヒストグラム（bin 12）,OpenCV calcHist
246,std_hsv_hist_H_bin13,HSV Histogram,フレーム標準偏差,フレーム標準偏差: HueチャンネルのHSVヒストグラム（bin 13）,OpenCV calcHist
247,std_hsv_hist_H_bin14,HSV Histogram,フレーム標準偏差,フレーム標準偏差: HueチャンネルのHSVヒストグラム（bin 14）,OpenCV calcHist
248,std_hsv_hist_H_bin15,HSV Histogram,フレーム標準偏差,フレーム標準偏差: HueチャンネルのHSVヒストグラム（bin 15）,OpenCV calcHist
249,std_hsv_hist_S_bin0,HSV Histogram,フレーム標準偏差,フレーム標準偏差: SaturationチャンネルのHSVヒストグラム（bin 0）,OpenCV calcHist
250,std_hsv_hist_S_bin1,HSV Histogram,フレーム標準偏差,フレーム標準偏差: SaturationチャンネルのHSVヒストグラム（bin 1）,OpenCV calcHist
251,std_hsv_hist_S_bin2,HSV Histogram,フレーム標準偏差,フレーム標準偏差: SaturationチャンネルのHSVヒストグラム（bin 2）,OpenCV calcHist
252,std_hsv_hist_S_bin3,HSV Histogram,フレーム標準偏差,フレーム標準偏差: SaturationチャンネルのHSVヒストグラム（bin 3）,OpenCV calcHist
253,std_hsv_hist_S_bin4,HSV Histogram,フレーム標準偏差,フレーム標準偏差: SaturationチャンネルのHSVヒストグラム（bin 4）,OpenCV calcHist
254,std_hsv_hist_S_bin5,HSV Histogram,フレーム標準偏差,フレーム標準偏差: SaturationチャンネルのHSVヒストグラム（bin 5）,OpenCV calcHist
255,std_hsv_hist_S_bin6,HSV Histogram,フレーム標準偏差,フレーム標準偏差: SaturationチャンネルのHSVヒストグラム（bin 6）,OpenCV calcHist
256,std_hsv_hist_S_bin7,HSV Histogram,フレーム標準偏差,フレーム標準偏差: SaturationチャンネルのHSVヒストグラム（bin 7）,OpenCV calcHist
257,std_hsv_hist_S_bin8,HSV Histogram,フレーム標準偏差,フレーム標準偏差: SaturationチャンネルのHSVヒストグラム（bin 8）,OpenCV calcHist
258,std_hsv_hist_S_bin9,HSV Histogram,フレーム標準偏差,フレーム標準偏差: SaturationチャンネルのHSVヒストグラム（bin 9）,OpenCV calcHist
259,std_hsv_hist_S_bin10,HSV Histogram,フレーム標準偏差,フレーム標準偏差: SaturationチャンネルのHSVヒストグラム（bin 10）,OpenCV calcHist
260,std_hsv_hist_S_bin11,HSV Histogram,フレーム標準偏差,フレーム標準偏差: SaturationチャンネルのHSVヒストグラム（bin 11）,OpenCV calcHist
261,std_hsv_hist_S_bin12,HSV Histogram,フレーム標準偏差,フレーム標準偏差: SaturationチャンネルのHSVヒストグラム（bin 12）,OpenCV calcHist
262,std_hsv_hist_S_bin13,HSV Histogram,フレーム標準偏差,フレーム標準偏差: SaturationチャンネルのHSVヒストグラム（bin 13）,OpenCV calcHist
263,std_hsv_hist_S_bin14,HSV Histogram,フレーム標準偏差,フレーム標準偏差: SaturationチャンネルのHSVヒストグラム（bin 14）,OpenCV calcHist
264,std_hsv_hist_S_bin15,HSV Histogram,フレーム標準偏差,フレーム標準偏差: SaturationチャンネルのHSVヒストグラム（bin 15）,OpenCV calcHist
265,std_hsv_hist_V_bin0,HSV Histogram,フレーム標準偏差,フレーム標準偏差: ValueチャンネルのHSVヒストグラム（bin 0）,OpenCV calcHist
266,std_hsv_hist_V_bin1,HSV Histogram,フレーム標準偏差,フレーム標準偏差: ValueチャンネルのHSVヒストグラム（bin 1）,OpenCV calcHist
267,std_hsv_hist_V_bin2,HSV Histogram,フレーム標準偏差,フレーム標準偏差: ValueチャンネルのHSVヒストグラム（bin 2）,OpenCV calcHist
268,std_hsv_hist_V_bin3,HSV Histogram,フレーム標準偏差,フレーム標準偏差: ValueチャンネルのHSVヒストグラム（bin 3）,OpenCV calcHist
269,std_hsv_hist_V_bin4,HSV Histogram,フレーム標準偏差,フレーム標準偏差: ValueチャンネルのHSVヒストグラム（bin 4）,OpenCV calcHist
270,std_hsv_hist_V_bin5,HSV Histogram,フレーム標準偏差,フレーム標準偏差: ValueチャンネルのHSVヒストグラム（bin 5）,OpenCV calcHist
271,std_hsv_hist_V_bin6,HSV Histogram,フレーム標準偏差,フレーム標準偏差: ValueチャンネルのHSVヒストグラム（bin 6）,OpenCV calcHist
272,std_hsv_hist_V_bin7,HSV Histogram,フレーム標準偏差,フレーム標準偏差: ValueチャンネルのHSVヒストグラム（bin 7）,OpenCV calcHist
273,std_hsv_hist_V_bin8,HSV Histogram,フレーム標準偏差,フレーム標準偏差: ValueチャンネルのHSVヒストグラム（bin 8）,OpenCV calcHist
274,std_hsv_hist_V_bin9,HSV Histogram,フレーム標準偏差,フレーム標準偏差: ValueチャンネルのHSVヒストグラム（bin 9）,OpenCV calcHist
275,std_hsv_hist_V_bin10,HSV Histogram,フレーム標準偏差,フレーム標準偏差: ValueチャンネルのHSVヒストグラム（bin 10）,OpenCV calcHist
276,std_hsv_hist_V_bin11,HSV Histogram,フレーム標準偏差,フレーム標準偏差: ValueチャンネルのHSVヒストグラム（bin 11）,OpenCV calcHist
277,std_hsv_hist_V_bin12,HSV Histogram,フレーム標準偏差,フレーム標準偏差: ValueチャンネルのHSVヒストグラム（bin 12）,OpenCV calcHist
278,std_hsv_hist_V_bin13,HSV Histogram,フレーム標準偏差,フレーム標準偏差: ValueチャンネルのHSVヒストグラム（bin 13）,OpenCV calcHist
279,std_hsv_hist_V_bin14,HSV Histogram,フレーム標準偏差,フレーム標準偏差: ValueチャンネルのHSVヒストグラム（bin 14）,OpenCV calcHist
280,std_hsv_hist_V_bin15,HSV Histogram,フレーム標準偏差,フレーム標準偏差: ValueチャンネルのHSVヒストグラム（bin 15）,OpenCV calcHist
281,std_hu_moment_1,Hu Moments,フレーム標準偏差,フレーム標準偏差: Huモーメント 1: 回転・スケール・反転不変,OpenCV HuMoments
282,std_hu_moment_2,Hu Moments,フレーム標準偏差,フレーム標準偏差: Huモーメント 2: 回転・スケール不変,OpenCV HuMoments
283,std_hu_moment_3,Hu Moments,フレーム標準偏差,フレーム標準偏差: Huモーメント 3: 回転・スケール不変,OpenCV HuMoments
284,std_hu_moment_4,Hu Moments,フレーム標準偏差,フレーム標準偏差: Huモーメント 4: 回転・スケール不変,OpenCV HuMoments
285,std_hu_moment_5,Hu Moments,フレーム標準偏差,フレーム標準偏差: Huモーメント 5: 回転・スケール不変（符号反転あり）,OpenCV HuMoments
286,std_hu_moment_6,Hu Moments,フレーム標準偏差,フレーム標準偏差: Huモーメント 6: 回転・スケール不変（符号反転あり）,OpenCV HuMoments
287,std_hu_moment_7,Hu Moments,フレーム標準偏差,フレーム標準偏差: Huモーメント 7: 反転識別,OpenCV HuMoments
288,std_glcm_contrast_mean,GLCM (Gray Level Co-occurrence Matrix),フレーム標準偏差,フレーム標準偏差: GLCM コントラスト（局所的な輝度変化）のmean,scikit-image graycoprops
289,std_glcm_contrast_std,GLCM (Gray Level Co-occurrence Matrix),フレーム標準偏差,フレーム標準偏差: GLCM コントラスト（局所的な輝度変化）のstd,scikit-image graycoprops
290,std_glcm_dissimilarity_mean,GLCM (Gray Level Co-occurrence Matrix),フレーム標準偏差,フレーム標準偏差: GLCM 非類似度（隣接ピクセルの差）のmean,scikit-image graycoprops
291,std_glcm_dissimilarity_std,GLCM (Gray Level Co-occurrence Matrix),フレーム標準偏差,フレーム標準偏差: GLCM 非類似度（隣接ピクセルの差）のstd,scikit-image graycoprops
292,std_glcm_homogeneity_mean,GLCM (Gray Level Co-occurrence Matrix),フレーム標準偏差,フレーム標準偏差: GLCM 均質性（局所的な均一性）のmean,scikit-image graycoprops
293,std_glcm_homogeneity_std,GLCM (Gray Level Co-occurrence Matrix),フレーム標準偏差,フレーム標準偏差: GLCM 均質性（局所的な均一性）のstd,scikit-image graycoprops
294,std_glcm_energy_mean,GLCM (Gray Level Co-occurrence Matrix),フレーム標準偏差,フレーム標準偏差: GLCM エネルギー（テクスチャの均一性）のmean,scikit-image graycoprops
295,std_glcm_energy_std,GLCM (Gray Level Co-occurrence Matrix),フレーム標準偏差,フレーム標準偏差: GLCM エネルギー（テクスチャの均一性）のstd,scikit-image graycoprops
296,std_glcm_correlation_mean,GLCM (Gray Level Co-occurrence Matrix),フレーム標準偏差,フレーム標準偏差: GLCM 相関（線形依存性）のmean,scikit-image graycoprops
297,std_glcm_correlation_std,GLCM (Gray Level Co-occurrence Matrix),フレーム標準偏差,フレーム標準偏差: GLCM 相関（線形依存性）のstd,scikit-image graycoprops
298,std_lbp_hist_bin0,LBP (Local Binary Pattern),フレーム標準偏差,フレーム標準偏差: LBPヒストグラム（bin 0）- テクスチャパターン,scikit-image local_binary_pattern
299,std_lbp_hist_bin1,LBP (Local Binary Pattern),フレーム標準偏差,フレーム標準偏差: LBPヒストグラム（bin 1）- テクスチャパターン,scikit-image local_binary_pattern
300,std_lbp_hist_bin2,LBP (Local Binary Pattern),フレーム標準偏差,フレーム標準偏差: LBPヒストグラム（bin 2）- テクスチャパターン,scikit-image local_binary_pattern
301,std_lbp_hist_bin3,LBP (Local Binary Pattern),フレーム標準偏差,フレーム標準偏差: LBPヒストグラム（bin 3）- テクスチャパターン,scikit-image local_binary_pattern
302,std_lbp_hist_bin4,LBP (Local Binary Pattern),フレーム標準偏差,フレーム標準偏差: LBPヒストグラム（bin 4）- テクスチャパターン,scikit-image local_binary_pattern
303,std_lbp_hist_bin5,LBP (Local Binary Pattern),フレーム標準偏差,フレーム標準偏差: LBPヒストグラム（bin 5）- テクスチャパターン,scikit-image local_binary_pattern
304,std_lbp_hist_bin6,LBP (Local Binary Pattern),フレーム標準偏差,フレーム標準偏差: LBPヒストグラム（bin 6）- テクスチャパターン,scikit-image local_binary_pattern
305,std_lbp_hist_bin7,LBP (Local Binary Pattern),フレーム標準偏差,フレーム標準偏差: LBPヒストグラム（bin 7）- テクスチャパターン,scikit-image local_binary_pattern
306,std_lbp_hist_bin8,LBP (Local Binary Pattern),フレーム標準偏差,フレーム標準偏差: LBPヒストグラム（bin 8）- テクスチャパターン,scikit-image local_binary_pattern
307,std_lbp_hist_bin9,LBP (Local Binary Pattern),フレーム標準偏差,フレーム標準偏差: LBPヒストグラム（bin 9）- テクスチャパターン,scikit-image local_binary_pattern
308,std_lbp_hist_bin10,LBP (Local Binary Pattern),フレーム標準偏差,フレーム標準偏差: LBPヒストグラム（bin 10）- テクスチャパターン,scikit-image local_binary_pattern
309,std_lbp_hist_bin11,LBP (Local Binary Pattern),フレーム標準偏差,フレーム標準偏差: LBPヒストグラム（bin 11）- テクスチャパターン,scikit-image local_binary_pattern
310,std_lbp_hist_bin12,LBP (Local Binary Pattern),フレーム標準偏差,フレーム標準偏差: LBPヒストグラム（bin 12）- テクスチャパターン,scikit-image local_binary_pattern
